index,x_mm,y_mm,z_mm
167,46.03922,-27.46318,-17.44200
168,48.25798,-25.52177,-18.84600
169,47.70329,-25.52177,-18.84600
170,48.25798,-24.13505,-18.69000
171,47.14860,-23.30302,-18.22200
172,46.03922,-24.41240,-18.22200
173,49.36735,-24.41240,-18.53400
174,46.31657,-27.74052,-17.44200
175,46.03922,-27.74052,-17.28600
176,48.81266,-25.52177,-18.84600
177,47.14860,-25.52177,-18.84600
178,48.25798,-26.07646,-11.35800
179,49.36735,-25.24443,-18.69000
180,48.81266,-24.13505,-18.69000
181,47.98063,-23.85771,-18.69000
182,46.59391,-25.24443,-18.69000
183,47.42595,-23.30302,-18.37800
184,46.03922,-24.68974,-18.37800
185,44.09782,-24.96708,-15.57000
186,47.70329,-25.79912,-19.00200
187,48.25798,-25.79912,-19.00200
188,48.25798,-25.79912,-11.20200
189,46.03922,-24.96708,-18.53400
190,46.59391,-27.46318,-18.06600
191,49.64470,-24.96708,-18.69000
192,47.70329,-23.58036,-18.69000
193,46.03922,-27.46318,-17.75400
194,47.98063,-26.07646,-11.20200
195,49.36735,-25.52177,-18.84600
196,48.25798,-23.85771,-18.84600
197,49.36735,-24.13505,-18.69000
198,46.31657,-27.74052,-17.75400
199,45.48454,-23.58036,-17.75400
200,46.31657,-22.74833,-17.75400
201,46.59391,-27.74052,-17.91000
202,45.48454,-23.85771,-17.91000
203,46.59391,-22.74833,-17.91000
204,48.81266,-25.79912,-19.00200
205,47.14860,-25.79912,-19.00200
206,48.53532,-26.07646,-11.20200
207,45.48454,-23.30302,-17.59800
208,46.03922,-22.74833,-17.59800
209,46.87126,-27.74052,-18.06600
210,46.87126,-22.74833,-18.06600
211,45.48454,-24.13505,-18.06600
212,49.64470,-24.41240,-18.69000
213,47.14860,-23.02567,-18.37800
214,46.87126,-25.52177,-19.00200
215,48.25798,-26.35380,-11.20200
216,45.76188,-27.74052,-17.44200
217,48.81266,-23.85771,-18.84600
218,46.03922,-25.24443,-18.69000
219,46.59391,-28.01787,-17.75400
220,45.48454,-24.41240,-18.22200
221,46.03922,-28.01787,-17.44200
222,47.42595,-23.30302,-18.69000
223,46.59391,-25.24443,-19.00200
224,47.14860,-28.01787,-18.06600
225,46.59391,-29.12724,-14.63400
226,48.25798,-26.07646,-11.04600
227,47.70329,-26.07646,-19.15800
228,48.25798,-26.07646,-19.15800
229,45.48454,-24.68974,-18.37800
230,49.36735,-25.79912,-19.00200
231,46.59391,-28.29521,-17.59800
232,46.03922,-27.46318,-18.06600
233,46.87126,-28.29521,-17.75400
234,46.59391,-27.46318,-18.37800
235,46.59391,-29.12724,-14.32200
236,45.20719,-28.29521,-15.88200
237,44.92985,-28.01787,-15.88200
238,48.81266,-26.07646,-19.15800
239,47.70329,-23.30302,-18.84600
