index,x_mm,y_mm,z_mm
171,34.39078,-17.20145,1.74600
172,23.01967,-13.31864,1.90200
173,29.67593,-9.43582,1.90200
174,35.22281,-8.32644,1.90200
175,34.66812,-7.77176,1.90200
176,56.57830,-7.21707,1.74600
177,41.60172,-5.83035,1.90200
178,51.58611,-3.05691,1.90200
179,57.68767,-0.83816,1.90200
180,28.56655,-32.73272,2.21400
181,26.07046,-31.06865,2.05800
182,54.35954,-30.23662,2.21400
183,64.89861,-27.74052,2.05800
184,34.39078,-24.41240,2.05800
185,20.24623,-19.97489,2.21400
186,34.66812,-16.64676,2.21400
187,22.46498,-12.20926,2.21400
188,52.14079,-9.71316,2.21400
189,51.03142,-8.88113,2.05800
190,29.95327,-8.04910,2.21400
191,33.28140,-7.21707,2.05800
192,57.13298,-6.10769,2.05800
193,59.35173,-3.88894,2.05800
194,52.14079,-1.94753,2.21400
195,56.30095,-34.95147,2.52600
196,35.77750,-32.73272,2.52600
197,47.14860,-31.34599,2.52600
198,66.56268,-29.95927,2.37000
199,34.66812,-28.29521,2.52600
200,29.67593,-25.52177,2.52600
201,34.66812,-21.63896,2.52600
202,30.50796,-17.75614,2.37000
203,31.89468,-13.87332,2.52600
204,53.25017,-10.26785,2.52600
205,56.57830,-9.71316,2.52600
206,28.84390,-8.60379,2.52600
207,36.60953,-7.49441,2.52600
208,41.32438,-4.99832,2.52600
209,50.47673,-1.67019,2.37000
210,57.68767,0.27122,2.52600
211,52.41814,-33.28740,2.83800
212,26.34780,-31.62334,2.83800
213,35.22281,-29.40459,2.83800
214,67.11737,-29.12724,2.83800
215,22.18764,-26.35380,2.83800
216,24.68374,-22.19364,2.83800
217,20.80092,-18.86552,2.83800
218,21.91030,-14.98270,2.83800
219,51.58611,-10.54520,2.68200
220,59.90643,-10.26785,2.83800
221,34.94547,-8.88113,2.68200
222,31.06265,-7.49441,2.83800
223,61.84783,-5.55300,2.83800
224,48.25798,-1.39284,2.83800
225,57.68767,0.82591,2.83800
226,53.25017,-33.56475,3.15000
227,46.03922,-31.06865,2.99400
228,22.74233,-28.84990,2.99400
229,62.67986,-28.01787,3.15000
230,21.35561,-25.52177,3.15000
231,29.39858,-21.63896,2.99400
