row,c0,c1,c2,c3
0,0.98676145,0.15571429,0.04533132,-5.39518356
1,-0.15036349,0.98314124,-0.10403926,2.44739890
2,-0.06076749,0.09584575,0.99353957,-2.25841737
3,0.00000000,0.00000000,0.00000000,1.00000000
