index,x_mm,y_mm,z_mm
167,57.88021,-24.17253,-12.05336
168,59.94794,-22.47293,-13.36795
169,59.58009,-22.27930,-13.55963
170,59.19101,-21.23464,-13.74394
171,58.14514,-20.26452,-13.04023
172,57.40296,-21.24794,-13.11857
173,60.87012,-21.17961,-13.17904
174,58.55753,-24.54202,-11.93126
175,57.56359,-24.99025,-11.97182
176,60.13580,-22.24656,-13.47626
177,58.67223,-22.22567,-13.65131
178,60.03472,-22.30057,-5.86191
179,61.18027,-21.73256,-13.45555
180,59.73887,-21.14826,-13.75226
181,59.05370,-20.72515,-13.46604
182,58.08098,-22.02443,-13.51397
183,58.77907,-20.37629,-13.09967
184,57.80635,-21.67556,-13.14760
185,55.21223,-22.40140,-10.49716
186,59.08347,-22.70692,-13.58866
187,59.81133,-22.34055,-13.79697
188,59.99133,-22.01295,-5.73288
189,57.84974,-21.96318,-13.27662
190,58.06807,-24.70597,-12.78280
191,60.87082,-21.55671,-13.38597
192,58.91638,-20.21567,-13.68813
193,58.06021,-24.62243,-12.06392
194,59.94079,-22.04881,-5.90247
195,60.50366,-22.44018,-13.78458
196,59.32763,-20.69692,-13.62547
197,60.64673,-20.50189,-13.66057
198,58.37753,-24.85192,-12.04183
199,57.08495,-20.61145,-12.62318
200,57.05658,-20.08389,-12.91442
201,58.29145,-24.68369,-12.30127
202,56.76833,-20.75907,-12.85220
203,57.87051,-19.91565,-12.67386
204,60.71919,-22.39418,-13.70529
205,58.35561,-23.07330,-13.88034
206,59.94865,-22.10244,-5.81079
207,56.68156,-20.18383,-12.59415
208,57.32265,-19.97212,-12.35498
209,59.10539,-24.51545,-12.56071
210,57.60444,-20.02742,-13.23330
211,56.63172,-21.32669,-12.78123
212,60.96405,-20.73137,-13.63848
213,58.46175,-20.14680,-13.12176
214,58.75830,-22.42381,-13.70244
215,59.53810,-22.69829,-6.08037
216,57.46967,-24.76839,-11.82294
217,60.05548,-20.33055,-13.83379
218,57.71312,-22.53080,-13.20565
219,58.87484,-24.80140,-12.21973
220,56.49510,-21.89432,-13.21026
221,57.78698,-24.99787,-11.80085
222,58.59907,-19.98619,-13.71023
223,58.26098,-22.47433,-13.52454
224,59.42271,-24.74493,-12.53861
225,58.32838,-26.01303,-9.20907
226,59.67472,-22.13067,-5.65135
227,59.30686,-22.71454,-13.91768
228,60.03472,-23.04817,-13.62600
229,57.25849,-21.76193,-13.13928
230,60.54705,-22.72781,-13.91361
231,58.37823,-25.19912,-11.93819
232,57.88021,-24.23234,-12.67449
233,59.01216,-25.31088,-11.99763
234,58.78807,-24.31587,-12.89337
235,58.32838,-25.98313,-8.89851
236,57.00858,-25.25058,-10.20930
237,56.87127,-24.74109,-10.43140
238,60.58258,-22.96180,-13.63432
239,59.23300,-20.09796,-13.76967
