index,x_mm,y_mm,z_mm
167,47.40837,-28.76666,-20.06798
168,49.65379,-27.26986,-21.33682
169,49.31227,-27.00424,-21.48635
170,49.08266,-25.89951,-21.54570
171,48.23359,-24.86170,-20.69000
172,47.34455,-25.70879,-20.81700
173,50.77371,-26.15665,-21.08121
174,48.02472,-29.24446,-20.02324
175,46.97232,-29.53147,-20.04610
176,49.86951,-27.06428,-21.43416
177,48.42062,-26.80547,-21.51714
178,50.10651,-27.89437,-13.86803
179,50.98112,-26.71815,-21.42779
180,49.63634,-25.89610,-21.57898
181,49.03909,-25.40688,-21.21242
182,47.87476,-26.53300,-21.32546
183,48.83903,-25.06072,-20.79829
184,47.67470,-26.18684,-20.91133
185,45.12205,-26.78613,-18.18995
186,48.75432,-27.34696,-21.52600
187,49.52015,-27.07453,-21.74209
188,50.11434,-27.61851,-13.70963
189,47.66688,-26.46271,-21.06973
190,47.47762,-29.24346,-20.85525
191,50.70630,-26.50597,-21.32299
192,48.97286,-24.86223,-21.37591
193,47.51546,-29.23495,-20.13253
194,50.05119,-27.62851,-13.87849
195,50.18837,-27.27788,-21.78139
196,49.30656,-25.40372,-21.38477
197,50.63699,-25.40667,-21.48111
198,47.79384,-29.51057,-20.15186
199,47.15232,-25.08676,-20.24447
200,47.19327,-24.53352,-20.48154
201,47.72334,-29.30524,-20.38826
202,46.80653,-25.16045,-20.46693
203,48.03353,-24.51553,-20.27587
204,50.41180,-27.27330,-21.71131
205,47.96583,-27.56737,-21.80669
206,50.05475,-27.69196,-13.79302
207,46.82217,-24.60871,-20.15013
208,47.49858,-24.52185,-19.93117
209,48.54094,-29.23524,-20.67937
210,47.72822,-24.52721,-20.82624
211,46.58655,-25.70535,-20.44251
212,50.91537,-25.68230,-21.50043
213,48.56065,-24.78509,-20.77897
214,48.47239,-27.00789,-21.59215
215,49.54464,-28.18799,-14.09302
216,46.92093,-29.31471,-19.87121
217,50.07239,-25.13130,-21.60086
218,47.44690,-27.00760,-21.04532
219,48.28437,-29.51718,-20.35399
220,46.34391,-26.19822,-20.91487
221,47.19931,-29.59034,-19.89054
222,48.69448,-24.58661,-21.35658
223,47.98185,-27.00128,-21.39002
224,48.81932,-29.51086,-20.69869
225,47.69296,-30.93944,-17.44570
226,49.78728,-27.69511,-13.62067
227,48.95865,-27.35381,-21.86721
228,49.63815,-27.82160,-21.65362
229,47.12103,-26.19024,-20.87806
230,50.18054,-27.55375,-21.93979
231,47.74516,-29.86280,-20.08221
232,47.37090,-28.76084,-20.69082
233,48.35061,-30.06182,-20.19050
234,48.24382,-28.95670,-20.97146
235,47.71169,-30.94235,-17.13428
236,46.46401,-29.88733,-18.28619
237,46.39778,-29.34268,-18.44968
238,50.19183,-27.81820,-21.68689
239,49.29992,-24.78563,-21.46487
