scenario,direct_ms,parallel_ms,speedup_x,direct_paired_mm,parallel_paired_mm,direct_rmse_mm,parallel_rmse_mm,parallel_search_ms,parallel_source,parallel_scored_candidates,parallel_refine_candidates,initial_paired_mm,initial_admission_action,initial_admission_reason,initial_admission_recovery,direct_success,parallel_success
baseline,547,538,1.017,3.7362,3.7340,0.4023,0.4025,538,parallel_batch_refine,1,1,3.3708,refine,robust_initial_residual_requires_refine,,true,true
medium_noise,545,547,0.996,3.7311,3.7270,0.4806,0.4823,547,parallel_batch_refine,1,1,3.4249,refine,robust_initial_residual_requires_refine,,true,true
high_noise,525,535,0.981,4.1898,4.1898,0.6318,0.6318,535,parallel_batch_refine,1,1,3.6344,refine,robust_initial_residual_requires_refine,,true,true
outlier_points,569,538,1.058,4.5411,4.5450,0.5392,0.5391,538,parallel_batch_refine,1,1,4.6290,refine,robust_initial_residual_requires_refine,,true,true
large_initial_offset,585,0,0.000,4.2122,-1.0000,0.5121,11.2411,0,parallel_initial_admission_rejected,0,0,11.2411,reject,robust_initial_residual_exceeds_recovery_threshold,resample_probe_points_or_check_probe_calibration,true,false
